LICENSEE NAME,DOING BUSINESS AS,LICENSE #,LICENSE TYPE,EXPIRES,STREET ADDRESS,CITY,STATE,ZIP
TOWER LIQUORS LLC,TOWER LIQUORS LLC,03-05884,Liquor Store (city),,09/28/2021 5910 TOWER ROAD #100,Denver,CO,80249
TOWERS TAVERN LLC,TOWERS TAVERN,03-09145,Tavern (city),,02/07/2022 1101 EAST BAYAUD AVENUE,Denver,CO,80209
TOWN & COUNTRY MARKET INCTOWN & COUNTRY MARKET,,42-16182-0000 Fermented Malt Beverage Off (,,,08/18/2021 4300 E COLFAX,Denver,CO,802201116
CRAZYHOUSE LLC,TOWN CENTER LIQUORS,43-00005-0000 Liquor Store (city),,,07/09/2021 14455 W 64TH AVE,ARVADA,CO,80403
LITTLETON TOWN HALL ARTS CTOWN HALL ARTS CENTER,,22-04893-0002 Arts License (city),,,12/16/2021 2450 WEST MAIN STREET,Littleton,CO,801201911
TOWN HALL TAVERN LLC,TOWN HALL TAVERN,03-03192,Tavern (city),,08/26/2021 330 MAIN ST,Montrose,CO,81401
TARA INC OF MANITOU SPRINGTOWN HOUSE THE,,08-17851-0000 Tavern (city),,,12/31/2021 907 MANITOU AVE,Manitou Springs,CO,80829
B&Y LLC,TOWN LIQUOR,03-08583,Liquor Store (city),,11/20/2021 2817 DOWNING STREET,Denver,CO,80205
TOWN OF AVON,TOWN OF AVON,03-13199,Optional Premises (city),,04/28/2022 ONE LAKE STREET,Avon,CO,81620
TOWN OF DILLON,TOWN OF DILLON,03-06274,Optional Premises (city),,04/21/2022 201 WEST LODGEPOLE STREET,Dillon,CO,80435
TOWN OF ERIE,TOWN OF ERIE,15-64236-0003 Beer & Wine (city),,,04/21/2021 450 POWERS ST,Erie,CO,80516
LATENDRESSE JOHN K,TOWN PUMP,14-41039-0000 Tavern (city),,,12/21/2021 124 N COLLEGE AVE,Fort Collins,CO,805242444
RP LOVELAND,TOWNEPLACE SUITES BY MARRIOTT03-13747,,Lodging & Entertainment (City),,09/24/2021 256 EAST 2ND STREET,Loveland,CO,80537
BCORE FALCON TRS CS LLC,TOWNEPLACE SUITES COLORADO S04-01319,,Fermented Malt Beverage On (,,03/03/2022 1530 NORTH NEWPORT ROAD,Colorado Springs,CO,80906
ARAPAHOE DEVELOPMENT LLCTOWNPLACE SUITES BY MARRIOTT 03-00259,,,Tavern (city),,09/17/2021 4100 N KITTREDGE STREET,Denver,CO,80239
TOWNSHEND CELLAR INC,TOWNSHEND CELLAR,03-12934,Winery Direct Shipper's Permit,,01/28/2022 1222 NORTH REGAL STREET,Spokane,WA,99202
HERON LAKES GOLF OPERATIOTPC COLORADO,,03-09964,Hotel & Restaurant / Optional (c,,07/10/2021 2975 TPC PARKAWAY,Berthoud,CO,80513
COSTCO WHOLESALE CORPORTRACI L VALENTINE,,03-10895,Manager Permit (LLDS),,03/18/2022 10061 PARK MEADOWS DRIVE #6110Lone Tree,,CO,80124
CRESTED BUTTE LLC,TRACKERS,07-74205-0017 Hotel & Restaurant (city),,,06/22/2021 620 GOTHIC RD,Mt Crested Butte,CO,81225
TRACKS CAFE & BAR INC,TRACKS CAFE & BAR,15-42422-0000 Tavern (city),,,06/09/2021 670 MOUNTAIN VILLAGE BLVD UNIT Mountain Village,,CO,814359520
TARGET T2716,TRACY M KAUCHER,03-13950,Manager Permit (LLDS),,11/09/2021 8469 HACKAMORE ROAD,Littleton,CO,80125
TRACY'S PLACE LLC,TRACY'S PLACE,03-06627,Beer & Wine (city),,07/28/2021 8770 WADSWORTH UNIT F,Arvada,CO,80003
SANTA FE TRADING COMPANY TRADE TAVERN,,03-06420,Tavern (city),,05/11/2021 475 SANTA FE DRIVE,Denver,CO,80204
TRADER JOE'S COMPANY,TRADER JOE'S # 302,04-00204,Fermented Malt Beverage Off (,,12/16/2021 661 LOGAN STREET,Denver,CO,80203
TRADER JOE'S COMPANY,TRADER JOE'S # 305,04-00257,Fermented Malt Beverage Off (,,08/19/2021 5342 NORTH NEVADA AVENUE,Colorado Springs,CO,80918
TRADER JOE'S COMPANY,TRADER JOE'S #301,04-00961,Fermented Malt Beverage Off (,,12/12/2021 1906 28TH STREET,Boulder,CO,80301
TRADER JOE'S COMPANY,TRADER JOE'S #303,04-00202,Fermented Malt Beverage Off (,,12/04/2021 5910 S UNIVERSITY BLVD SUITE E-1Greenwood Village CO,,,80121
TRADER JOE'S COMPANY,TRADER JOE'S #304,04-00246,Fermented Malt Beverage Off (,,06/15/2021 3500 S COLLEGE AVE # 110,Fort Collins,CO,80525
TRADER JOE'S COMPANY,TRADER JOE'S #306,04-00447,Fermented Malt Beverage Off (,,01/26/2022 8055-3 WEST BOWLES AVENUE,Littleton,CO,80123
TRADER JOE'S COMPANY,TRADER JOE'S #309,04-01443,Fermented Malt Beverage Off (,,02/18/2022 18374 COTTONWOOD DRIVE SUITE Parker,,CO,80134
TRADER JOE'S COMPANY,TRADER JOE'S #310,03-00529,Liquor Store (city),,12/05/2021 790 COLORADO BLVD,Denver,CO,80206
TRADER JOE'S COMPANY,TRADER JOE'S #315,03-13460,Liquor Store (city),,07/19/2021 5338 NORTH NEVADA AVENUE,Colorado Springs,CO,80919
TRADER JOE'S COMPANY,TRADER JOE'S COMPANY,03-02141,Master File (Business),,PO BOX 5049 ATTN: TAX DEPT,Monrovia,CA,91017
J&B HITCHING POST LLC,TRADING POST LIQUORS,40-96066-0000 Liquor Store (county),,,02/27/2022 2898 HWY 50,Grand Junction,CO,815033902
RLH COLORADO INC,TRADING POST LIQUORS,03-02658,Liquor Store (city),,03/23/2022 3234 S WADSWORTH BLVD UNITS DLakewood,,CO,80227
TRAHAN WINERY LLC,TRAHAN WINERY,25-48107-0000 Winery Direct Shipper's Permit,,,10/27/2021 974 Franklin Street,Napa,CA,94559
RURAL COZ HOUSING COMPANTRAIL AND HITCH,,03-14573,Beer & Wine (county),,03/25/2022 322 COUNTY ROAD 8,Meeker,CO,81641
RATSO RIZZO INC,TRAIL HEAD TAVERN,23-71049-0000 Tavern (city),,,08/01/2021 148 W MOUNTAIN AVE,Fort Collins,CO,805242823
"TRAIL RIDGE MARINA, LLC",TRAIL RIDGE MARINA,03-07943,Tavern (county),,05/15/2021 12634 US HIGHWAY 34,Grand Lake,CO,80447
GRACE PLACE,TRAILHEAD CAFE,03-12598,Tavern (city),,02/05/2022 375 MEADOWLARK DRIVE,Berthoud,CO,80513
SWITCHBACK LLC,TRAILHEAD TAPHOUSE & KITCHEN 03-06035,,Beer & Wine (city),,04/12/2021 811 12TH STREET,Golden,CO,80401
HEGUY ORLANDO B,TRAILS END BAR,15-14103-0000 Fermented Malt Beverage On/O,,,05/19/2021 #70 HWY 160 SEC 22 T325 R 53W,Kim,CO,81049
TRAILZ LIMITED,TRAILS END TAPROOM,03-11934,Tavern (city),,"08/04/2021 3103-A&B, 3105-A WEST COLORADOColorado Springs",,CO,80904
TRAILZ LIMITED,TRAILS END TAPROOM,03-14047,Tavern (city),,12/14/2021 252 NORTH FRONT STREET,Monument,CO,80132
VAN CAMPEN BARBARA J,TRAILSIDE LIQUOR,07-83418-0000 Liquor Store (city),,,10/13/2021 1015 WEST COLORADO,HOLLY,CO,810479773
TRAILSIDE SALOON INC,TRAILSIDE SALOON,22-76998-0000 Tavern (city),,,04/14/2021 10360 COLORADO BLVD,Thornton,CO,80229
BEAVER CREEK FOOD SERVICETRAPPERS CABIN,,04-51098-0001 Hotel & Restaurant / Optional (c,,,12/09/2021 SEC23 T5S R82,Beaver Creek,CO,81620
WILDERNESS ESCAPES LLC,TRAPPERS LAKE LODGE,03-11995,Hotel & Restaurant / Optional (c,,07/02/2021 7700 TRAPPERS LAKE ROAD,Meeker,CO,81641
TWIN RIDGE ESTATES LLC,TRATTORE WINE,15-80456-0000 Winery Direct Shipper's Permit,,,08/03/2021 7878 DRY CREEK ROAD,Geyserville,CA,95441
ITALIAN MODERN CUISINE LLC TRATTORIA BRAVA,,03-08147,Hotel & Restaurant (city),,07/02/2021 809 GRAND AVENUE #4,Glenwood Springs CO,,81601
TRATTORIA DI SOFIA LLC,TRATTORIA DI SOFIA,03-06193,Beer & Wine (city),,04/04/2021 110 NORTH TOWNSEND AVENUE,Montrose,CO,81401
DIONISIA LLC,TRATTORIA DIONISIA,03-06880,Hotel & Restaurant (city),,11/29/2021 10403 SOUTH PARKER ROAD,Parker,CO,80134
CAFE STAR INC,TRATTORIA STELLA,41-54126-0000 Hotel & Restaurant (city),,,07/13/2021 3201 E COLFAX,Denver,CO,802061711
TRATTORIA STELLA INC,TRATTORIA STELLA,24-67936-0000 Hotel & Restaurant (city),,,07/06/2021 3470 W 32ND AVE,Denver,CO,802113104
ITO WINES LLC,TRAVELING VINEYARD,03-00552,Winery Direct Shipper's Permit,,12/13/2021 35 INDUSTRIAL WAY,Buellton,CA,93427
ITO WINES LLC,TRAVELING VINEYARD,03-02672,Winery Direct Shipper's Permit,,01/29/2022 8260 PLEASANT VALLEY ROAD,Hammondsport,NY,14840
COSTCO WHOLESALE CORPORTRAVIS T GALCERAN,,03-09201,Manager Permit (LLDS),,08/01/2021 5921 TRANQUIL STREAM LANE,Colorado Springs,CO,80923
RETIRED ENLISTEDASSOC THETREA CHAPTER 39,,21-57406-0000 Club License (city),,,11/18/2021 15821 E CENTRETECH CIRCLE,Aurora,CO,80011
TREANA WINERY LLC,TREANA WINERY LIBERTY SCHOOL 28-41376-0002 Impor,,ter (vinous & spirituous),,12/21/2021 4280 SECOND WIND WY,Paso Robles,CA,934476309
TREASURE POT RESTAURANT TREASURE POT RESTAURANT,,24-46348-0000 Hotel & Restaurant (city),,,12/20/2021 6375 SIMMS STREET,Arvada,CO,80004
MOUNTAIN MIRACLE INC,TREASURY LIQUORS,28-34579-0000 Liquor Store (city),,,07/19/2021 611 GOTHIC RD-GARDEN CONDO'S Mt Crested Butte,,CO,81225
"VICINI ENTERPRISES, LLC",TRECINI CELLARS,03-07506,Winery Direct Shipper's Permit,,01/10/2022 4545 THOMAS LAKE HARRIS DRIVE Santa Rosa,,CA,95403
WUPPERMANN INC,TREELINE KITCHEN,03-07729,Hotel & Restaurant (city),,03/06/2022 615 HARRISON AVENUE UNIT A,Leadville,CO,80461
AI ENDEAVORS LLC,TRELLIS WINE BAR,03-14176,Tavern (city),,02/17/2022 2868 FAIRFAX STREET,Denver,CO,80207
DNC PARKS & RESORTS AT TRETRENDZ AT THE PARK,,03-09387,Beer & Wine (city),,02/21/2022 100 EAST ELKHORN AVE,Estes Park,CO,80517
TRENTADUE WINERY LLC,TRENTADUE WINERY,26-47483-0000 Winery Direct Shipper's Permit,,,09/28/2021 19170 GEYSERVILLE AVENUE,Geyserville,CA,954419528
"TRES CHILES, INC",TRES CHILES MEXICAN GRILL,03-06180,Hotel & Restaurant (city),,03/10/2022 3900 TENNYSON STREET,Denver,CO,80212
RINCON DEL SOLL II LLC,TRES GRINGOS,03-11469,Sidewalk Service Area,,05/15/2021 20 LAKEVIEW DRIVE,Nederland,CO,80466
TRES GRINGOS CANTINA LLC TRES GRINGOS,,03-11469,Hotel & Restaurant (city),05/15/2021 20 LAKEVIEW DRIVE,Nederland,CO,80466
TRES LITROS BEER COMPANY TRES LITROS BEER COMPANY LLC 03-11506,,,Wholesale Beer (malt liquor),09/26/2021 118 NORTH E STREET,Salida,CO,81201
TRES LITROS BEER COMPANY TRES LITROS BEER COMPANY LLC 03-11507,,,Manufacturer (brewery),09/26/2021 118 NORTH E STREET,Salida,CO,81201
CANCUN INC,TRES MARGARITAS FAMILY MEXICAN28-12704-0000 Hotel & Restaurant (city),,,09/15/2021 501 E COUNTY LINE RD,Littleton,CO,80126
RANCHO SECO INC,TRES POTRILLOS,12-58645-0000 Hotel & Restaurant (county),,03/03/2021 11707 W KEN CARYL AVE,Littleton,CO,80127
JULIE JOHNSON,TRES SABORES,03-12828,Winery Direct Shipper's Permit,01/01/2022 1620 SOUTH WHITEHALL LANE,Saint Helena,CA,94574
TRESPASS VINEYARDS INC.,TRESPASS VINEYARDS INC.,03-10275,Winery Direct Shipper's Permit,07/11/2021 4708 SILVERADO TRAIL,Calistoga,CA,94515
TRESTLES LTD,TRESTLES COASTAL CUISINE,03-08867,Hotel & Restaurant (county),01/01/2022 880 WEST HAPPY CANYON ROAD SUCastle Rock,,CO,80108
GRIEB OPTIMAL WINECRAFTINGTREVERI CELLARS,,03-01001,Winery Direct Shipper's Permit,01/29/2022 71 GANGL RD,Wapato,WA,98951
GRIEB OPTIMAL WINECRAFTINGTREVERI CELLARS,,03-03809,Winery Direct Shipper's Permit,09/28/2021 71 GANGL RD,Wapato,WA,98951
STOLO FAMILY WINERY,TREVITI WINE,03-02047,Winery Direct Shipper's Permit,09/19/2014 3776 SANTA ROSA CREEK RD,Cambria,CA,93428
TRI CITY ELKS LODGE NO2541 TRI CITY ELKS LODGE 2541,,10-25583-0001 Club License (city),,03/18/2021 525 MAIN ST,Louisville,CO,800272037
TRI VIN IMPORTS INC,TRI VIN IMPORTS INC,03-04897,Importer (vinous & spirituous),10/30/2021 2 CLINTON PLACE,New Rochelle,NY,10801
WOLFPAK LLC,TRIBE,03-13016,Hotel & Restaurant (city),03/02/2022 115 WILCOX STREET UNIT 120,Castle Rock,CO,80104
MIGHTY LITTLE MARKETS LLC TRIBUTARY FOOD HALL,,03-10206,Hotel & Restaurant (city),"08/12/2021 701 12TH STREET, UNITS 131-151",Golden,CO,80401
TRIBUTE I LLC,TRIBUTE BARBERSHOP LOUNGE,03-07687,Beer & Wine (city),04/03/2022 8000 EAST BELLEVIEW AVENUE # D Greenwood Village CO,,,80111
SAM'S WEST INC.,TRICIA L TRUPP,03-07488,Manager Permit (LLDS),01/09/2022 6238 JORIE ROAD,Colorado Springs,CO,80927
TRIDENT BUISNESS PARTNERSTRIDENT BOOKSELLERS & CAFE,,03-06665,Beer & Wine (city),07/24/2021 938-940 PEARL STREET,Boulder,CO,80302
TRIGO FOOD CO,TRIGO FOOD CO,03-11073,Hotel & Restaurant (city),01/21/2022 116 PARK STREET,Gypsum,CO,81637
HANOVER LIQUOR LLC,TRI-LAKES LIQUOR,03-13523,Liquor Store (city),08/24/2021 586 HIGHWAY 105,Monument,CO,80132
TRIM WINES LLC,TRIM WINES,03-03404,Importer (vinous & spirituous),09/14/2021 4500 SILVERADO TRAIL,Napa,CA,94558
TRINCHERA H & R INC,TRINCHERA RANCH,03-02498,Hotel & Restaurant (county),02/20/2022 24492 TRINCHERA ROAD,Fort Garland,CO,81133
TRINIDAD - LAS ANIMAS COUNTTRINIDAD - LAS ANIMAS COUNTY GO03-07646,,,Lodging & Entertainment (City),03/30/2022 1415 FRANKLIN D. AZAR DRIVE,Trinidad,CO,81082
TRINIDAD BEER LIQUOR & WINETRINIDAD BEER LIQUOR & WINE DEP03-01573,,,Liquor Store (city),08/29/2021 111 E KANSAS AVE,Trinidad,CO,81082
DURAN OIL COMPANY INC,TRINIDAD FUEL STOP,04-01020,Fermented Malt Beverage Off (,11/26/2021 9960 SANTA FE TRAIL DRIVE,Trinidad,CO,81082
TRINIDAD LANES LLC,TRINIDAD LANES LLC,28-33090-0000 Tavern (city),,11/16/2021 823 VAN BUREN,Trinidad,CO,810823681
BPOE LODGE,TRINIDAD LODGE #181,06-01743-0001 Club License (city),,12/31/2021 120 SOUTH MAPLE STREET,Trinidad,CO,810822729
TRINIDATTIE LLC,TRINIDAD LOUNGE,03-14196,Tavern (city),01/05/2022 421 NORTH COMMERCIAL STREET Trinidad,,CO,81082
TRINIDAD SMOKEHOUSE LLC TRINIDAD SMOKEHOUSE LLC,,03-12670,Hotel & Restaurant (city),12/18/2021 225 WEST MAIN,Trinidad,CO,81082
TRINITAS CELLARS LLC,TRINITAS CELLARS,15-64616-0000 Winery Direct Shipper's Permit,,12/18/2021 1451 STANLY LANE,Napa,CA,94559
TRINITY BREWING COMPANY TRINITY BREWING COMPANY,,42-57908-0000 Brew Pub (city),,06/23/2021 1466 GARDEN OF THE GODS RD ST Colorado Springs,,CO,80907
TRIONE VINEYARDS LLC,TRIONE VINEYARDS,15-68222-0000 Winery Direct Shipper's Permit,,07/09/2021 19550 GEYSERVILLE AVE,Geyserville,CA,95441
TRIPLE NICKEL TAVERN LLC,TRIPLE NICKEL TAVERN,42-14667-0000 Tavern (city),,"11/02/2021 103 SOUTH WAHSATCH, UNIT 106",Colorado Springs,CO,80903
KATMANDO'S INC,TRIPLE O'S LIQUOR,41-30296-0000 Liquor Store (county),,05/13/2021 609 S MCCULLOCH BLVD W,Pueblo,CO,810072885
TRIPLE S EVENT CENTER LLC TRIPLE S EVENT CENTER,,42-74522-0000 Lodging & Entertainment (City),,10/27/2021 901 35TH AVE #B,Greeley,CO,80634
FORDGE LLC,TRIPLE TREE TAVERN,03-14154,Tavern (county),01/21/2022 201 2ND STREET,Clifton,CO,81520
MAHALO BEVERAGES LLC,TRI-R LIQUORS,03-00560,Liquor Store (city),12/27/2021 620 EAST BRIDGE ST,Hotchkiss,CO,81419
FREY FAMILY WINERY,TRISAETUM WINERY,28-66718-0000 Winery Direct Shipper's Permit,,02/23/2022 18401 RIBBON RIDGE RD,NEWBERG,OR,971326566
"SAFEWAY STORES 46, INC.",TRISHA KIMBLE,03-09806,Manager Permit (LLDS),05/16/2021 9344 SOUTH CATTAIL COURT,Highlands Ranch,CO,80126
ACA CELLARS LLC,TROIS NOIX,03-13008,Importer (vinous & spirituous),06/08/2021 588 ZINFANDEL LANE,Saint Helena,CA,94574
TROMBETTA FAMILY WINES LLCTROMBETTA FAMILY WINES,,14-72976-0000 Winery Direct Shipper's Permit,,05/14/2022 1160 HOPPER AVENUE,Santa Rosa,CA,95403
"SADYTA, INC",TROMPEAU BAKERY,03-13933,Beer & Wine (city),"11/23/2021 2950 SOUTH BROADWAY UNITS D,E Englewood",,CO,80113
"WHITE ESTATE WINERY, LLC",TROON VINEYARD,03-10480,Winery Direct Shipper's Permit,08/26/2021 1475 KUBLI ROAD,Grants Pass,OR,97527
TROUT TAVERN LLC,TROUT TAVERN LLC,03-07484,Tavern (county),01/23/2022 1078 RAMONA DRIVE,Red Feather Lakes CO,,80545
K & D ENTERPRISES INC,TROY VILLAGE LIQUOR,28-70236-0000 Liquor Store (city),,12/22/2021 1732 CONSTITUTION,Pueblo,CO,810012202
"GK OF LONE TREE CO, LCC",TRU BY HILTON,03-12083,Lodging & Entertainment (City),08/21/2021 9741 PARK MEADOWS DRIVE,Lone Tree,CO,80124
MAIN STREET MANAGEMENT LLTRU BY HILTON GRAND JUNCTION D03-11377,,,Lodging & Entertainment (City),03/13/2022 243 COLORADO AVENUE,Grand Junction,CO,81501
TRUCHARD ANTHONY M,TRUCHARD VINEYARDS,07-96069-0000 Winery Direct Shipper's Permit,,09/09/2021 3234 OLD SONOMA RD,Napa,CA,945599701
TRUE BELIEVER LLC,TRUE BELIEVER,03-07843,Winery Direct Shipper's Permit,04/02/2022 3100 & 3248 RANCHO TEPUSQUET RSanta Maria,,CA,93454
FRC BALANCE LLC,TRUE FOOD KITCHEN,03-10210,Hotel & Restaurant (city),"08/19/2021 2800 EAST 2ND AVENUE, SUITE 101 Denver",,CO,80206
HATARI ENTERPRISES INC,TRUE GRIT CAFE,42-79234-0000 Hotel & Restaurant (city),,04/29/2022 117 & 123 N LENA,Ridgway,CO,81432
TRUE GRITS OF MORGAN COUNTRUE GRITS OF MORGAN COUNTY 26-35314-0000 Hotel & Restaurant (cit,,,y),11/02/2021 919 W EDISON STREET,Brush,CO,80723
TRUE NORTH WINERY LLC,TRUE NORTH WINERY,03-13209,Winery Direct Shipper's Permit,03/26/2022 995 9TH STREET BLDG 201 ROOM 1 San Francisco,,CA,94130
HDD LLC,TRUETT HURST,03-02804,Winery Direct Shipper's Permit,05/04/2022 5610 DRY CREEK RD,Healdsburg,CA,95448
HDD LLC,TRUETT HURST,03-05397,Importer (vinous & spirituous),11/16/2021 5610 DRY CREEK ROAD,Healdsburg,CA,95448
TRUFFLE PIG I LLC,TRUFFLE PIG,15-76437-0000 Hotel & Restaurant (city),,06/01/2021 2250 APRES SKI WY #C315,Steamboat Springs CO,,80487
TRUFFLEBARLLC,TRUFFLE TABLE,03-10530,Hotel & Restaurant (city),11/18/2021 2556 15TH STREET,Denver,CO,80211
TRUJILLO WINES LLC,TRUJILLO WINES,03-04200,Winery Direct Shipper's Permit,01/01/2022 4326 BIG RANCH ROAD,Napa,CA,94558
TRUJILLO WINES LLC,TRUJILLO WINES,03-03236,Importer (vinous & spirituous),07/21/2021 4326 BIG RANCH ROAD,Saint Helena,CA,945749455
ERIC TRUMP WINE MANUFACTUTRUMP WINERY,,03-00825,Winery Direct Shipper's Permit,12/13/2021 3740 BLENHEIM ROAD,Charlottesville,VA,22902
TRURO VINEYARDS OF CAPE CTRURO VINEYARDS OF CAPE COD LL15-64201-0000 Winery Direct Shipper's Permit,,,,12/05/2021 11 SHORE RD,North Truro,MA,2652
TRUST ME VODKA INC,TRUST ME VODKA INC,03-12661,Importer (vinous & spirituous),"03/30/2022 2100 PALOMAR AIRPORT ROAD, SU Carlsbad",,CA,92011
TRVE BREWING COMPANY LLC TRVE BREWING CO,,03-06972,Importer (malt liquor),09/29/2021 227 BROADWAY # 101,Denver,CO,80203
TRVE BREWING COMPANY LLC TRVE BREWING CO,,03-03039,Manufacturer (brewery),06/25/2021 2620 W 2ND AVENUE UNIT 5,Denver,CO,80219
TRVE BREWING COMPANY LLC TRVE BREWING COMPANY,,15-81023-0001 Wholesale Beer (malt liquor),,02/09/2022 227 BROADWAY #101,Denver,CO,802035940
A & D T'S BAR LLC,T'S BAR,03-03124,Tavern (county),07/11/2021 34158 HIGHWAY 50 E,Pueblo,CO,81006
T'S SMOKEHOUSE & GRILL LLC T'S SMOKEHOUSE & GRILL,,42-82445-0000 Hotel & Restaurant (city),,06/17/2021 #3 DEPOT PLACE,DURANGO,CO,813015457
WILLIE L LAY INCORPORATED TSAI SHEN GARDEN RESTAURANT 42-88374-0000 Hotel & Restaurant (city),,,,03/10/2022 15200 EAST 6TH AVENUE #2E,Aurora,CO,80011
TSING TAO ASIAN KITCHEN INCTSING TAO,,03-04175,Hotel & Restaurant (city),02/19/2022 607A S BROADWAY # A & B,Boulder,CO,80305
XI WOO CORPORATION,TSING TAO HOUSE,40-86025-0000 Hotel & Restaurant (city),,12/23/2021 3604 HARTSEL DR #C,Colorado Springs,CO,80920
BELMAR ROADHOUSE LLC,TSTREET ROADHOUSE,03-04956,Hotel & Restaurant (city),09/10/2021 445 S TELLER ST,Lakewood,CO,80226
DJ INC,TSUNAMI - SUSHI BAR WOK & GRILL 03-01395,,Tavern (city),05/09/2021 326 SOUTH UNION AVE,Pueblo,CO,81003
TUCANOS CS LLLP,TUCANOS BRAZILIAN GRILL,14-70141-0000 Hotel & Restaurant (city),,03/20/2021 3294 CINEMA POINT,Colorado Springs,CO,80922
TUCASA LLC,TUCASA LLC,03-00502,Hotel & Restaurant (city),01/31/2022 106 OAK RIDGE DRIVE,Gypsum,CO,81637
TUCK BECKSTOFFER WINES LLTUCK BECKSTOFFER WINES,,15-70782-0000 Winery Direct Shipper's Permit,,12/04/2021 230 NORTH CRYSTAL SPRINGS ROASaint Helena,,CA,94574
CHINSOMBOON VICHOL CHINSOTUK TUK,,40-49305-0000 Hotel & Restaurant (city),,10/16/2021 10667 WESTMINSTER BLVD #272,Westminster,CO,80020
TUK TUK THAI EXPRESS INC,TUK TUK THAI GRILL,25-24400-0000 Hotel & Restaurant (city),,11/20/2021 218 UNION BLVD,Lakewood,CO,80228
TUK TUK THAI GRILL INC,TUK TUK THAI GRILL,41-47003-0000 Hotel & Restaurant (city),,12/28/2021 8000 EAST QUINCY AVENUE,Denver,CO,80237
456 ENTERTAINMENT LLC,TULLY'S,42-95237-0000 Hotel & Restaurant (county),,10/18/2021 282 ELCHO AVENUE,Crested Butte,CO,81224
TUMBLEWEED BREWING AND WTUMBLEWEED BREWING AND WINE C03-08815,,,Brew Pub (city),02/26/2022 124 SOUTH MAIN STREET,Yuma,CO,80759
"TNT, LLC",TUMBLEWEED TAVERN,03-06268,Tavern (county),10/11/2021 214 SOUTH MCCULLOCH,Pueblo West,CO,81007
TUMBLEWEED LIQUORS LLC,TUMBLEWOOD LIQUORS,03-07100,Liquor Store (city),11/21/2021 150 COLUMBINE CT UNIT A,Parachute,CO,81635
"TUMBLING RIVER RANCH, INC TUMBLING RIVER RANCH",,03-04377,Optional Premises (county),05/06/2022 3715 PARK COUNTY ROAD 62,Grant,CO,80448
TUNE UP LLC,TUNE UP,03-08799,Beer & Wine (city),11/01/2021 2250 APRES SKI WAY SUITE C113,Steamboat Springs CO,,80487
TUPELO HONEY HOSPITALITY CTUPELO HONEY CAFE,,03-07448,Hotel & Restaurant (city),"02/21/2022 1650 WEWATTA, SUITE 104",Denver,CO,80202
OLSEN DAVID C,TURKEY SPRINGS TRADING POST,07-74009-0000 Liquor Store (county),,07/11/2021 11497 W HWY 160,Pagosa Springs,CO,81147
JEFFERY TODD TAYLOR,TURKEYFOOT BEER COMPANY LLC 03-11007,,Wholesale Beer (malt liquor),03/26/2021 1280 WEST 47TH AVENUE,Denver,CO,80211
TURLEY WINE CELLARS INC,TURLEY WINE CELLARS,26-69526-0000 Winery Direct Shipper's Permit,,08/29/2021 3358 ST HELENA HWY,Saint Helena,CA,945749660
TURLEY WINE COMPANY LLC TURLEY WINE COMPANY LLC,,03-12276,Limited Winery,10/28/2021 3553 E ROAD,Palisade,CO,81526
TURMERIC RESTAURANT LLC TURMERIC RESTAURANT,,03-09342,Hotel & Restaurant (city),02/22/2022 106 WEST MAIN STREET,Florence,CO,81226
SCHULTZ DENNIS D,TURN OF THE CENTURY THE,28-33812-0000 Tavern (city),,06/13/2021 121 N W 4TH STREET,Montrose,CO,814013422
"IMPERIAL INC., LLC",TURNBERRY LIQUOR,03-13717,Liquor Store (city),10/05/2021 12302 EAST 104TH PLACE,Commerce City,CO,80022
TURNBULL WINE CELLARS,TURNBULL WINE CELLARS,12-40457-0000 Winery Direct Shipper's Permit,,07/25/2021 8210 ST HELENA HWY,OAKVILLE,CA,94562
MONTOYA ENTERPRISES INC TURNING HEADS STUDIO,,03-04164,Beer & Wine (city),02/19/2022 5715 UPHAM ST,Arvada,CO,80002
TURNOVER DARLING LLC,"TURNOVER, DARLING LLC",03-13796,Hotel & Restaurant (city),12/29/2021 2162 LARIMER STREET,Denver,CO,80205
MGDE INC,TURNPIKE LIQUOR DEPOT,42-62008-0000 Liquor Store (county),,11/11/2021 1451 CORTEZ ST UNIT D,Denver,CO,80221
BUEB ENTERPRISES LLC,TURQUOISE MESA WINERY,07-73341-0001 Limited Winery,,12/17/2021 11705 TELLER ST UNIT C,Broomfield,CO,800207159
BUEB ENTERPRISES LLC,TURQUOISE MESA WINERY,07-73341-0002 Winery Direct Shipper's Permit,,"07/11/2021 11705 TELLER ST, UNIT C",Broomfield,CO,80020
TURTLE TUBING LLC,TURTLE BUS & TUBING LLC,03-04066,Public Transportation,05/21/2021 40900 US HWY 6 & 24,Avon,CO,81620
BURNS DONALD T & CLAUDIA KTURTLE ROCK VINEYARDS,,03-12399,Winery Direct Shipper's Permit,09/24/2021 2540 DRY CREEK ROAD,Paso Robles,CA,93446
FINE WINES AND LIQUOR LLC TURTLE'S GLENWOOD LIQUORS,,03-12222,Liquor Store (city),12/17/2021 1918 GRAND AVENUE,Glenwood Springs CO,,81601
TUSCANY TAVERN LLC,TUSCANY TAVERN,40-36517-0000 Hotel & Restaurant (county),,08/07/2021 32214 ELLINGWOOD TR #110,Evergreen,CO,804399779
"SIYA, LLC",TUSCANY WINE & SPIRITS,03-05865,Liquor Store (city),03/06/2022 6130 AUSTIN BLUFFS PARKWAY,Colorado Springs,CO,80918
