LICENSEE NAME,DOING BUSINESS AS,LICENSE #,LICENSE TYPE,EXPIRES,STREET ADDRESS,CITY,STATE,ZIP
IGUANA INC,3 MARGARITAS XXVII,42-84443-0000 Hotel & Restaurant (city),,,11/02/2021 10160 WEST 50TH AVENUE UNIT 7 Wheat Ridge,,CO,800332339
3 ROCK LIQUORS INC,3 ROCK LIQUORS INC,42-85926-0000 Liquor Store (city),,,11/16/2021 6160 FIRESTONE BLVD #110,Firestone,CO,80504
ASUNTA ENTERPRISES INC,3 SONS ITALIAN RESTAURANT & BAR41-66731-0003 Hotel & Restaurant (city),,,,04/29/2022 14805 WEST 64TH AVENUE SUITE CArvada,,CO,800070103
3 THIRSTY GOATS INC,3 THIRSTY GOATS,03-08094,Liquor Store (city),,05/21/2021 4150 AUSTIN BLUFFS PARKWAY,Colorado Springs,CO,80918
SOVEREIGN BRAND LLC,3 VODKA DISTILLING CO,12-56550-0000 Importer (vinous & spirituous),,,"01/27/2022 81 GREENE STREET, 2ND FL",New York,NY,100125349
ROUTT COUNTY YAMP VALLEY 3 WIRE BAR & GRILL,,12-93234-0002 Hotel & Restaurant (city),,,11/08/2021 11005 ROUTT COUNTY ROAD 51A,Hayden,CO,81639
IOK ENTERPRISES INC,3.14 SWEET & SAVORY PI BAR,03-04975,Hotel & Restaurant (city),,07/23/2021 5152 CENTENNIAL BLVD,Colorado Springs,CO,80919
TIPS LLC,30/70 SPORTS BAR AND GRILL,03-09352,Hotel & Restaurant (city),,06/11/2021 1885 WEST 120TH AVENUE UNIT 13 Westminster,,CO,80234
300 SUNS CO,300 SUNS BREWING,03-05166,Brew Pub (city),,09/16/2021 335 1ST AVENUE UNIT C,Longmont,CO,80501
INFINITY RAMEN INC.,303 RAMEN,03-10192,Hotel & Restaurant (city),,08/12/2021 5725 YUKON STREET,Arvada,CO,80002
"3100 CELLARS, LLC",3100 CELLARS,03-14418,Winery Direct Shipper's Permit,,02/21/2022 240 EAST 32ND STREET,Garden City,ID,83714
HEELE FAMILY HOLDINGS LLC 32 PARALLEL,,03-11536,Winery Direct Shipper's Permit,,04/29/2022 817 S. Mill Street,Lewisville,TX,75057
325 BOWERY INC.,325 BOWERY,03-12041,Wholesale Beer (malt liquor),,"09/05/2021 1270 BOSTON AVENUE , UNIT 325",Longmont,CO,80501
357 FOOD & BEVERAGES LLP 357 BAR AND GRILL,,03-05481,Hotel & Restaurant (city),,11/15/2021 235 SOUTH MAIN STREET,Palisade,CO,81526
357 FOOD & BEVERAGES LLP 357 RELOADED,,03-13878,Hotel & Restaurant (county),,09/29/2021 3235 I-70 BUSINESS LOOP SUITE C Clifton,,CO,81520
CITAULA BROTHERS 2 INC,37TH LIQUOR LLC,03-08161,Liquor Store (city),,09/06/2021 3603 23RD AVENUE,Evans,CO,80620
ROCKY RYE LLC,39 NORTH SPIRITS,03-03230,Wholesale (vinous & spirituous),,04/19/2021 936 CHAMBERS CT UNIT B4,Eagle,CO,81631
LITTLE LINDA M,3RD STREET BISTRO,03-77767-0000 Hotel & Restaurant (city),,,08/12/2021 212 3RD STREET,Paonia,CO,814281700
SANGRES ART GUILD,3RD STREET GALLERY,25-56321-0000 Art Gallery Permit,,,05/17/2022 59000 HWY 69 N,Westcliffe,CO,81252
3S BAR INC,3'S BAR,28-68173-0000 Tavern (city),,,08/26/2021 333 MAIN ST,Longmont,CO,805015532
3-S LIQUORS INC,3-S LIQUORS,11-74301-0000 Liquor Store (city),,,12/31/2021 8031 WADSWORTH UNIT B-7,Arvada,CO,800031645
4 EAGLE RANCH LLC,4 EAGLE RANCH,12-93759-0000 Optional Premises (county),,,04/30/2021 4098 HWY 131,Wolcott,CO,81655
FOUR G' CAFE INC,4 G'S,06-12539-0002 Hotel & Restaurant (city),,,09/27/2021 2788 S FEDERAL BLVD,Denver,CO,80236
4 G'S CAFE II INC,4 G'S CAFE II,03-07165,Hotel & Restaurant (city),,11/20/2021 3866 SOUTH BROADWAY,Englewood,CO,80113
4 KINGS LLC,4 KINGS BAR & GRILL,03-12678,Hotel & Restaurant (city),,12/17/2021 404 EAST MAIN STREET,Silver Cliff,CO,81252
"4 NOSES BREWING COMPANY, 4 NOSES BREWING COMPANY",,03-02015,Wholesale Beer (malt liquor),,"10/23/2021 8855 W 116TH CIR, STE 4",Broomfield,CO,80021
"4 NOSES BREWING COMPANY, 4 NOSES BREWING COMPANY",,03-02016,Manufacturer (brewery),,"10/23/2021 8855 W 116TH CIR, STE 4",Broomfield,CO,80021
4 OF HARTS LLC,4 OF HARTS RESTAURANT,03-13977,Hotel & Restaurant (city),,01/27/2022 102 SOUTH UNION AVENUE PUEBLOPueblo,CO,81003,
MCESBREN LLC,4.0 CELLARS,03-06893,Winery Direct Shipper's Permit,,08/09/2021 10354 EAST US HIGHWAY 290,Fredericksburg,TX,78624
M&L LIQUORS INC,44TH AVENUE LIQUORS,42-54377-0000 Liquor Store (city),,,02/04/2022 2300 W 44TH AVE,Denver,CO,80211
44TH CORNER LIQUOR INC,44TH CORNER LIQUOR,03-01260,Liquor Store (city),,04/16/2021 3007 W 44TH AVE,Denver,CO,80211
450 DEGREE,450 TEPPANYAKI,03-10746,Hotel & Restaurant (city),,01/28/2022 568 HIGHWAY 133 UNIT 4 & 5,Carbondale,CO,81623
47 SUSHI & SPIRITS - HIGHLAND47 SUSHI & SPIRITS,,03-10069,Hotel & Restaurant (county),,12/09/2021 1525 PARK CENTRAL DRIVE SUITE 4Highlands Ranch,CO,80129,
ALASKA ENTERPRISES LLC,49TH THE,03-02762,Hotel & Restaurant (city),,"06/03/2021 4550 S KIPLING ST, STE 6",Denver,CO,80127
FOUR G'S CAFE INC,4G'S CAFE,06-12539-0003 Hotel & Restaurant (city),,,10/02/2021 5950 S PLATTE CANTON DR BLDG BLittleton,CO,80127,
BARNHAUS VINEYARDS & WINE4R RANCH VINEYARDS & WINERY,,03-07908,Winery Direct Shipper's Permit,,04/05/2022 1473 COUNTY ROAD 477,Muenster,TX,76252
DOWNTOWN GRILLE LLC,4TH & MAIN DOWNTOWN GRILLE/ FIL03-14240,,Brew Pub (city),,01/13/2022 402 MAIN STREET,Wray,CO,80758
BELFORD OXFORD CORP,4TH ST CHOP HOUSE,40-90953-0000 Hotel & Restaurant (city),,,03/31/2022 125 E 4TH ST,Loveland,CO,805375501
J&W CATERING INC,5 B'S BBQ,41-74251-0000 Beer & Wine (city),,,01/31/2022 303 E TOMICHI AVE STE E,Gunnison,CO,81230
5 ESTRELLAS,5 ESTRELLAS,03-08639,Hotel & Restaurant (city),,04/26/2021 1550 SOUTH FEDERAL BOULEVARD Denver,CO,80219,
